"is_canceled","lead_time","arrival_date_week_number","arrival_date_day_of_month","arrival_date_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","required_car_parking_spaces","total_of_special_requests","avg_daily_rate","booked_by_company","booked_by_agent","hotel_City","hotel_Resort","meal_BB","meal_FB","meal_HB","meal_No_meal","market_segment_Aviation","market_segment_Complementary","market_segment_Corporate","market_segment_Direct","market_segment_Groups","market_segment_Offline_TA_TO","market_segment_Online_TA","market_segment_Undefined","distribution_channel_Corporate","distribution_channel_Direct","distribution_channel_GDS","distribution_channel_TA_TO","distribution_channel_Undefined","reserved_room_type_A","reserved_room_type_B","reserved_room_type_C","reserved_room_type_D","reserved_room_type_E","reserved_room_type_F","reserved_room_type_G","reserved_room_type_H","reserved_room_type_L","deposit_type_No_Deposit","deposit_type_Non_Refund","deposit_type_Refundable","customer_type_Contract","customer_type_Group","customer_type_Transient","customer_type_Transient-Party"
0,342,27,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,737,27,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,7,27,1,7,0,1,1,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,13,27,1,7,0,1,1,0,0,0,0,0,0,0,75,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,14,27,1,7,0,2,2,0,0,0,0,0,0,1,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,14,27,1,7,0,2,2,0,0,0,0,0,0,1,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,27,1,7,0,2,2,0,0,0,0,0,0,0,107,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,9,27,1,7,0,2,2,0,0,0,0,0,0,1,103,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,85,27,1,7,0,3,2,0,0,0,0,0,0,1,82,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,75,27,1,7,0,3,2,0,0,0,0,0,0,0,105.5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,23,27,1,7,0,4,2,0,0,0,0,0,0,0,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,35,27,1,7,0,4,2,0,0,0,0,0,0,0,145,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,68,27,1,7,0,4,2,0,0,0,0,0,0,3,97,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,18,27,1,7,0,4,2,1,0,0,0,0,0,1,154.77,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,37,27,1,7,0,4,2,0,0,0,0,0,0,0,94.71,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,68,27,1,7,0,4,2,0,0,0,0,0,0,3,97,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,37,27,1,7,0,4,2,0,0,0,0,0,0,0,97.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,12,27,1,7,0,1,2,0,0,0,0,0,0,0,88.2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,27,1,7,0,1,2,0,0,0,0,0,0,0,107.42,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,7,27,1,7,0,4,2,0,0,0,0,0,0,1,153,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,37,27,1,7,1,4,1,0,0,0,0,0,0,1,97.29,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,72,27,1,7,2,4,2,0,0,0,0,0,0,1,84.67,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,72,27,1,7,2,4,2,0,0,0,0,0,0,1,84.67,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,72,27,1,7,2,4,2,0,0,0,0,0,0,1,99.67,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,127,27,1,7,2,5,2,0,0,0,0,0,0,1,94.95,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,78,27,1,7,2,5,2,0,0,0,0,0,1,0,63.6,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,48,27,1,7,2,5,2,0,0,0,0,0,0,0,79.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,60,27,1,7,2,5,2,0,0,0,0,0,0,2,107,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,77,27,1,7,2,5,2,0,0,0,0,0,0,0,94,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,99,27,1,7,2,5,2,0,0,0,0,0,1,1,87.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,118,27,1,7,4,10,1,0,0,0,0,0,0,2,62,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,95,27,1,7,4,11,2,0,0,0,0,0,0,0,63.86,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,96,27,1,7,2,8,2,0,0,0,0,0,0,2,108.3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,69,27,2,7,2,4,2,0,0,0,0,0,0,0,65.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,45,27,2,7,1,3,3,0,0,0,0,0,0,1,108.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,40,27,2,7,1,3,3,0,0,0,0,0,0,1,108.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,15,27,2,7,1,3,2,0,0,0,0,0,0,0,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,36,27,2,7,1,3,3,0,0,0,0,0,0,1,108.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,43,27,2,7,1,3,3,0,0,0,0,0,0,0,108.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,70,27,2,7,2,3,2,0,0,0,0,0,0,1,137,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,45,27,2,7,2,3,2,0,0,0,0,0,0,0,117.81,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,45,27,2,7,2,3,2,0,0,0,0,0,0,0,79.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,16,27,2,7,2,3,2,0,0,0,0,0,0,0,123,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,70,27,2,7,2,3,2,0,0,0,0,0,0,1,137,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,107,27,2,7,2,5,2,0,0,0,0,0,0,2,110.7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,47,27,2,7,2,5,2,2,0,0,0,0,0,0,153,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,96,27,2,7,2,5,2,0,0,0,0,0,0,1,58.95,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,113,27,2,7,2,5,2,0,0,0,0,0,0,2,82.88,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,90,27,2,7,2,5,2,0,0,0,0,0,0,0,82.35,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,50,27,2,7,2,5,2,0,0,0,0,0,0,1,119.35,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,113,27,2,7,2,5,2,0,0,0,0,0,0,2,67.58,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,93,27,2,7,3,8,2,0,0,0,0,0,0,0,56.01,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,76,27,2,7,4,10,2,0,0,0,0,0,0,0,110.7,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,3,27,2,7,0,1,2,0,0,0,0,0,1,0,88.2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,27,2,7,0,1,2,0,0,0,0,0,1,0,147,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,1,27,2,7,0,1,2,2,0,0,0,0,1,2,107,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,27,2,7,0,1,2,0,0,0,0,0,0,0,147,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,27,2,7,0,1,2,0,0,0,0,0,0,2,117.9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,27,2,7,0,1,2,0,0,0,0,0,0,0,123,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,14,27,2,7,0,2,2,0,0,0,0,0,0,1,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,10,27,2,7,0,2,2,0,0,0,0,0,0,0,117.81,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,5,27,2,7,0,2,2,0,0,0,0,0,1,2,135,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,17,27,2,7,0,3,2,0,0,0,0,0,0,1,133,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,93,27,2,7,0,3,2,0,0,0,0,0,0,0,58.95,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,3,27,2,7,0,3,2,0,0,0,0,0,0,2,136.33,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,10,27,3,7,0,2,2,2,0,0,0,0,1,0,153,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,3,27,3,7,0,2,2,0,0,0,0,0,0,0,110.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,51,27,3,7,0,2,2,0,0,0,0,0,0,0,97,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,71,27,3,7,0,2,3,0,0,0,0,0,0,2,110.3,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,63,27,3,7,0,2,2,0,0,0,0,0,0,2,82,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,62,27,3,7,0,2,2,0,0,0,0,0,0,1,97,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,101,27,3,7,0,2,2,0,0,0,0,0,0,1,73.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,2,27,3,7,0,2,2,0,0,0,0,0,0,0,91.5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,15,27,3,7,0,2,2,0,0,0,0,0,0,0,114.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,51,27,3,7,0,2,3,0,0,0,0,0,0,0,110.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,3,27,3,7,1,2,2,0,0,0,0,0,1,0,90.9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,48,27,3,7,1,2,2,0,0,0,0,0,0,0,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,2,27,3,7,2,2,1,0,0,0,0,0,0,0,122,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,72,27,3,7,2,2,2,0,0,0,0,0,1,0,110.7,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,81,27,3,7,2,6,3,0,0,0,0,0,0,0,85.86,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,99,27,3,7,2,7,2,0,0,0,0,0,0,0,58.95,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,368,27,3,7,3,7,2,0,0,0,0,0,0,0,55.68,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,364,27,3,7,3,7,2,0,0,0,0,0,0,0,55.68,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,81,27,3,7,3,7,2,0,0,0,0,0,0,1,124,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,99,27,3,7,3,7,2,0,0,0,0,0,0,0,111.15,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,324,27,3,7,4,10,2,0,0,0,0,0,0,0,134.73,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,69,27,3,7,4,10,2,0,0,0,0,0,0,1,92.45,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,79,27,3,7,6,15,2,1,0,0,0,0,0,2,108.73,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,12,27,3,7,0,1,2,0,0,0,0,0,0,0,73.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,9,27,3,7,0,1,2,0,0,0,0,0,1,2,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,27,3,7,0,1,2,0,0,0,0,0,0,1,131,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,21,27,3,7,0,1,2,0,0,0,0,0,0,0,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,9,27,3,7,0,1,2,0,0,0,0,0,0,0,94.71,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,109,27,3,7,0,1,2,0,0,0,0,0,0,2,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,109,27,3,7,0,2,2,0,0,0,0,0,0,1,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,72,27,3,7,0,2,2,0,0,0,0,0,0,1,73.8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,63,27,3,7,2,5,2,0,0,0,0,0,0,1,117,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,63,27,3,7,2,5,3,0,0,0,0,0,0,1,196.54,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,101,27,3,7,2,5,2,1,0,0,0,0,1,2,99.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,102,27,3,7,2,5,2,0,0,0,0,0,0,0,90.95,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0